	Condition	CorrectSource	Stim_RT	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
34	1	9	0.6579999999999999	OLD	animal_zebra_old.bmp	Old13	1	1	1.3219999999999998	6	587
35	1	5	1.044	New	sporting_windsurf.bmp	New31	1	2	1.4269999999999998	6	587
36	1	6	0.792	OLD	sporting_americanfootball.bmp	Old53	0	2	5.16	6	587
37	0	9	0.745	OLD	kitchen_big cooking pot.bmp	Old28	1	1	1.05	6	599
38	0	6	0.7170000000000001	New	food_drink.bmp	New05	1	2	1.358	6	599
39	0	6	0.847	OLD	Kitchen_apron.bmp	Old27	1	1	1.038	5	387
40	0	5	0.5579999999999999	OLD	sporting_footballhelmet.bmp	Old57	1	1	1.834	8	680
41	1	9	0.968	New	kitchen_kettle_new.bmp	New24	1	2	1.42	8	680
42	1	8	1.188	New	sporting_basketball_new.bmp	New14	0	1	1.082	5	517
43	0	9	0.6940000000000001	New	animal_pigeon.bmp	New32	1	2	1.048	5	517
44	1	6	0.726	OLD	fruit_blackberry_new.bmp	Old66	1	1	0.9490000000000001	8	518
45	1	6	1.472	New	animal_seal.bmp	New38	1	2	1.256	8	518
46	1	9	1.035	OLD	animal_farm pig.bmp	Old05	1	1	1.261	5	761
47	1	8	1.199	OLD	kitchen_pitcher.bmp	Old34	1	1	1.225	8	550
48	0	8	0.728	OLD	food_baguette01.bmp	Old14	1	1	1.319	6	1402
49	1	9	0.573	New	sporting_flippers.bmp	New02	1	2	1.56	6	1402
